id	accession	band	group	role	paralog	clade	family	length	species	taxon_id	gene	protein_name	n_itpr_arch	arch_exception	itpr_score	ryr_score	rel_margin	envelope_frac	origin	shape_reason	screen_reason
A0AAN9BAK1|V1264_020598|Littorina_saxatilis|Mollusca|ITPR	A0AAN9BAK1	Mollusca	metazoa	ITPR	Mollusca	Mollusca	ITPR	2744	Littorina saxatilis	31220	V1264_020598	Inositol 1,4,5-trisphosphate receptor	5	0	3821.4	463.7	0.8787		census v5	in band	itpr.hmm wins at 88% margin over an envelope covering 99% in 2 segment(s)
A0ABQ9EYP8|KUTeg_013945|Tegillarca_granosa|Mollusca|RYR	A0ABQ9EYP8	Mollusca	metazoa	RYR	Mollusca	Mollusca	RYR	5194	Tegillarca granosa (Malaysian cockle) (Anadara granosa)	220873	KUTeg_013945	Ryanodine receptor	5	0	766.1	7168.9	0.8931		census v5	in band	ryr.hmm wins at 89% margin over an envelope covering 99% in 2 segment(s)
R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	R7TPX0	Annelida	metazoa	ITPR	Annelida	Annelida	ITPR	2718	Capitella teleta (Polychaete worm)	283909		Inositol 1,4,5-trisphosphate receptor	5	0	3920.6	454.4	0.8841		census v5	in band	itpr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
X1Z8I7|unnamed|Capitella_teleta|Annelida|RYR	X1Z8I7	Annelida	metazoa	RYR	Annelida	Annelida	RYR	5038	Capitella teleta (Polychaete worm)	283909		Ryanodine receptor	5	0	667.6	7194.7	0.9072		S3 seed (X1Z8I7|unnamed|Capitella_teleta|invertebrate)	S3 seed, reused under B6	ryr.hmm wins at 91% margin over an envelope covering 99% in 2 segment(s)
A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	A0A267FK94	Platyhelminthes	metazoa	ITPR	Platyhelminthes	Platyhelminthes	ITPR	2914	Macrostomum lignano	282301	BOX15_Mlig001931g6	Inositol 1,4,5-trisphosphate receptor	5	0	3385.6	405.4	0.8803		census v5	in band	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
A0A1I8H4L8|unnamed|Macrostomum_lignano|Platyhelminthes|RYR	A0A1I8H4L8	Platyhelminthes	metazoa	RYR	Platyhelminthes	Platyhelminthes	RYR	4842	Macrostomum lignano	282301		Ryanodine receptor 44F	5	0	569.1	5517.4	0.8969		census v5	in band	ryr.hmm wins at 90% margin over an envelope covering 95% in 3 segment(s)
A0A813MP72|OXX778_LOCUS2086|Brachionus_calyciflorus|Rotifera|ITPR	A0A813MP72	Rotifera	metazoa	ITPR	Rotifera	Rotifera	ITPR	3029	Brachionus calyciflorus	104777	OXX778_LOCUS2086	Inositol 1,4,5-trisphosphate receptor	5	0	3077.1	409.6	0.8669		census v5	in band	itpr.hmm wins at 87% margin over an envelope covering 99% in 2 segment(s)
A0A813M7S2|OXX778_LOCUS1568|Brachionus_calyciflorus|Rotifera|RYR	A0A813M7S2	Rotifera	metazoa	RYR	Rotifera	Rotifera	RYR	5149	Brachionus calyciflorus	104777	OXX778_LOCUS1568	Ryanodine receptor	5	0	688.9	6207.3	0.889		census v5	in band	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	A0A1S3H6V5	Brachiopoda	metazoa	ITPR	Brachiopoda	Brachiopoda	ITPR	2808	Lingula anatina (Brachiopod) (Lingula unguis)	7574	LOC106152615	Inositol 1,4,5-trisphosphate receptor	4	0	2116.5	313.6	0.8518		S3 seed (A0A1S3H6V5|LOC106152615|Lingula_anatina|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 85% margin over an envelope covering 100% in 1 segment(s)
A0A1S3I436|LOC106160817|Lingula_anatina|Brachiopoda|RYR	A0A1S3I436	Brachiopoda	metazoa	RYR	Brachiopoda	Brachiopoda	RYR	4715	Lingula anatina (Brachiopod) (Lingula unguis)	7574	LOC106160817	Ryanodine receptor	5	0	686.6	6618.9	0.8963		S3 seed (A0A1S3I436|LOC106160817|Lingula_anatina|invertebrate)	S3 seed, reused under B6	ryr.hmm wins at 90% margin over an envelope covering 99% in 3 segment(s)
Q8WSR4|IP3R|Patiria_pectinifera|Echinodermata|ITPR	Q8WSR4	Echinodermata	metazoa	ITPR	Echinodermata	Echinodermata	ITPR	2698	Patiria pectinifera (Starfish) (Asterina pectinifera)	7594	IP3R	Inositol 1,4,5-trisphosphate receptor (ApIP3R)	5	0	3991.2	401.7	0.8994		S3 seed (Q8WSR4|IP3R|Patiria_pectinifera|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A7M7MY00|unnamed|Strongylocentrotus_purpuratus|Echinodermata|ITPR	A0A7M7MY00	Echinodermata	metazoa	ITPR	Echinodermata	Echinodermata	ITPR	2820	Strongylocentrotus purpuratus (Purple sea urchin)	7668		Inositol 1,4,5-trisphosphate receptor	5	0	4039.3	428.3	0.894		S3 seed (A0A7M7MY00|unnamed|Strongylocentrotus_purpuratus|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A9Q1HIR2|HOLleu_04993|Holothuria_leucospilota|Echinodermata|ITPR	A0A9Q1HIR2	Echinodermata	metazoa	ITPR	Echinodermata	Echinodermata	ITPR	2757	Holothuria leucospilota (Black long sea cucumber) (Mertensiothuria leucospilota)	206669	HOLleu_04993	Inositol 1,4,5-trisphosphate receptor	5	0	3719.3	400.2	0.8924		census v5	in band	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
Q8TA74|unnamed|Hemicentrotus_pulcherrimus|Echinodermata|RYR	Q8TA74	Echinodermata	metazoa	RYR	Echinodermata	Echinodermata	RYR	5317	Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)	7650		Ryanodine receptor	5	0	703.9	7266.5	0.9031		S3 seed (Q8TA74|unnamed|Hemicentrotus_pulcherrimus|invertebrate)	S3 seed, reused under B6	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A8B7ZN74|LOC110986867|Acanthaster_planci|Echinodermata|RYR	A0A8B7ZN74	Echinodermata	metazoa	RYR	Echinodermata	Echinodermata	RYR	5283	Acanthaster planci (Crown-of-thorns starfish)	133434	LOC110986867	Ryanodine receptor 2-like	5	0	710.1	6915.3	0.8973		census v5	in band	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	A0ACM8C709	Hemichordata	metazoa	ITPR	Hemichordata	Hemichordata	ITPR	2596	Saccoglossus kowalevskii (Acorn worm)	10224	LOC100375107	Inositol 1,4,5-trisphosphate receptor	5	0	1508.9	323.1	0.7859		census v5	in band	itpr.hmm wins at 79% margin over an envelope covering 99% in 2 segment(s)
A0ACM8CH91|LOC100328999|Saccoglossus_kowalevskii|Hemichordata|RYR	A0ACM8CH91	Hemichordata	metazoa	RYR	Hemichordata	Hemichordata	RYR	5221	Saccoglossus kowalevskii (Acorn worm)	10224	LOC100328999	LOW QUALITY PROTEIN: ryanodine receptor 2	5	0	667.8	6766.5	0.9013		census v5	in band	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	A0A8K0A0Y4	Chordata	metazoa	ITPR	Chordata	Chordata	ITPR	2783	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	7740	ITPR1	Inositol 1,4,5-trisphosphate receptor	5	0	4041.9	464.3	0.8851		census v5	in band	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
H2Y879|unnamed|Ciona_savignyi|Chordata|RYR	H2Y879	Chordata	metazoa	RYR	Chordata	Chordata	RYR	4897	Ciona savignyi (Pacific transparent sea squirt)	51511		Uncharacterized protein	5	0	780.5	6243.9	0.875		census v5	in band	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0A6P8IUM8|LOC116304295|Actinia_tenebrosa|Cnidaria|ITPR	A0A6P8IUM8	Cnidaria	metazoa	ITPR	Cnidaria	Cnidaria	ITPR	2745	Actinia tenebrosa (Australian red waratah sea anemone)	6105	LOC116304295	Inositol 1,4,5-trisphosphate receptor	5	0	3905.6	416.2	0.8934		S3 seed (A0A6P8IUM8|LOC116304295|Actinia_tenebrosa|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0ABN8N199|PLOB_00042910|Porites_lobata|Cnidaria|ITPR	A0ABN8N199	Cnidaria	metazoa	ITPR	Cnidaria	Cnidaria	ITPR	2717	Porites lobata	104759	PLOB_00042910	Inositol 1,4,5-trisphosphate receptor	5	0	3841.2	437.2	0.8862		census v5	in band	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0ACF8YJ40|ACHWQZ_G010582|Mnemiopsis_leidyi|Ctenophora|ITPR	A0ACF8YJ40	Ctenophora	metazoa	ITPR	Ctenophora	Ctenophora	ITPR	2716	Mnemiopsis leidyi (Sea walnut) (Warty comb jellyfish)	27923	ACHWQZ_G010582	Inositol 1,4,5-trisphosphate receptor	5	0	3298.0	421.5	0.8722		census v5	in band	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0AAN0JIF7|unnamed|Amphimedon_queenslandica|Porifera|ITPR	A0AAN0JIF7	Porifera	metazoa	ITPR	Porifera	Porifera	ITPR	2766	Amphimedon queenslandica (Sponge)	400682		Inositol 1,4,5-trisphosphate receptor	5	0	3141.3	364.7	0.8839		S3 seed (A0AAN0JIF7|unnamed|Amphimedon_queenslandica|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
A0AAV7JYY9|LOD99_3002|Oopsacas_minuta|Porifera|ITPR	A0AAV7JYY9	Porifera	metazoa	ITPR	Porifera	Porifera	ITPR	2633	Oopsacas minuta	111878	LOD99_3002	Inositol 1,4,5-trisphosphate receptor	5	0	1913.4	323.6	0.8309		census v5	in band	itpr.hmm wins at 83% margin over an envelope covering 97% in 3 segment(s)
A0AAV7K8I1|LOD99_255|Oopsacas_minuta|Porifera|RYR	A0AAV7K8I1	Porifera	metazoa	RYR	Porifera	Porifera	RYR	4959	Oopsacas minuta	111878	LOD99_255	Ryanodine receptor 44F-like X1	4	0	454.6	4744.3	0.9042		S3 seed (A0AAV7K8I1|LOD99_255|Oopsacas_minuta|invertebrate)	S3 seed, reused under B6	ryr.hmm wins at 90% margin over an envelope covering 99% in 3 segment(s)
A0AAN0JF00|unnamed|Amphimedon_queenslandica|Porifera|RYR	A0AAN0JF00	Porifera	metazoa	RYR	Porifera	Porifera	RYR	4753	Amphimedon queenslandica (Sponge)	400682		B30.2/SPRY domain-containing protein	5	0	436.6	2475.8	0.8237		census v5	in band	ryr.hmm wins at 82% margin over an envelope covering 93% in 5 segment(s)
B3RXX7|TRIADDRAFT_56365|Trichoplax_adhaerens|Placozoa|ITPR	B3RXX7	Placozoa	metazoa	ITPR	Placozoa	Placozoa	ITPR	2524	Trichoplax adhaerens (Trichoplax reptans)	10228	TRIADDRAFT_56365	Inositol 1,4,5-trisphosphate receptor	4	0	3381.3	362.7	0.8927		S3 seed (B3RXX7|TRIADDRAFT_56365|Trichoplax_adhaerens|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 89% margin over an envelope covering 100% in 2 segment(s)
B3RK74|TRIADDRAFT_52741|Trichoplax_adhaerens|Placozoa|RYR	B3RK74	Placozoa	metazoa	RYR	Placozoa	Placozoa	RYR	4949	Trichoplax adhaerens (Trichoplax reptans)	10228	TRIADDRAFT_52741	Ryanodine receptor 3	5	0	644.3	6104.0	0.8944		S3 seed (B3RK74|TRIADDRAFT_52741|Trichoplax_adhaerens|invertebrate)	S3 seed, reused under B6	ryr.hmm wins at 89% margin over an envelope covering 99% in 3 segment(s)
A0A1W0X7L5|BV898_02971|Hypsibius_exemplaris|Tardigrada|ITPR	A0A1W0X7L5	Tardigrada	metazoa	ITPR	Tardigrada	Tardigrada	ITPR	2720	Hypsibius exemplaris (Freshwater tardigrade)	2072580	BV898_02971	Inositol 1,4,5-trisphosphate receptor	5	0	2889.2	379.6	0.8686		census v5	in band	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0AAE0LDZ1|CYMTET_10314|Cymbomonas_tetramitiformis|Chlorophyta|ITPR	A0AAE0LDZ1	Chlorophyta	viridiplantae	ITPR	Chlorophyta	Chlorophyta	ITPR	3375	Cymbomonas tetramitiformis	36881	CYMTET_10314	MIR domain-containing protein	3	0	1943.2	153.5	0.921		S3 seed (A0AAE0LDZ1|CYMTET_10314|Cymbomonas_tetramitiformis|non_metazoan)	S3 seed, reused under B6	itpr.hmm wins at 92% margin over an envelope covering 99% in 1 segment(s)
A0A2K3CTW4|CHLRE_16g665450v5|Chlamydomonas_reinhardtii|Chlorophyta|ITPR	A0A2K3CTW4	Chlorophyta	viridiplantae	ITPR	Chlorophyta	Chlorophyta	ITPR	3210	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	CHLRE_16g665450v5	MIR domain-containing protein	5	0	705.3	124.0	0.8242		census v5	in band	itpr.hmm wins at 82% margin over an envelope covering 88% in 3 segment(s)
A0A1Y2B255|BCR33DRAFT_724882|Rhizoclosmatium_globosum|Chytridiomycota|ITPR	A0A1Y2B255	Chytridiomycota	fungi	ITPR	Chytridiomycota	Chytridiomycota	ITPR	3246	Rhizoclosmatium globosum	329046	BCR33DRAFT_724882	MIR domain-containing protein	5	0	1361.5	400.5	0.7058		census v5	in band	itpr.hmm wins at 71% margin over an envelope covering 92% in 2 segment(s)
A0A433QY11|BC938DRAFT_479224|Jimgerdemannia_flammicorona|Mucoromycota|ITPR	A0A433QY11	Mucoromycota	fungi	ITPR	Mucoromycota	Mucoromycota	ITPR	2599	Jimgerdemannia flammicorona	994334	BC938DRAFT_479224	MIR domain-containing protein	5	0	1348.6	347.8	0.7421		census v5	in band	itpr.hmm wins at 74% margin over an envelope covering 97% in 2 segment(s)
A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	A0ABR2W6A1	Basidiobolomycota	fungi	ITPR	Basidiobolomycota	Basidiobolomycota	ITPR	2502	Basidiobolus ranarum	34480	K7432_003395	Uncharacterized protein	5	0	2077.4	418.2	0.7987		S3 seed (A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|non_metazoan)	S3 seed, reused under B6	itpr.hmm wins at 80% margin over an envelope covering 99% in 1 segment(s)
A0ACC2TPX2|DSO57_1024190|Entomophthora_muscae|Entomophthoromycota|ITPR	A0ACC2TPX2	Entomophthoromycota	fungi	ITPR	Entomophthoromycota	Entomophthoromycota	ITPR	2567	Entomophthora muscae	34485	DSO57_1024190	MIR domain-containing protein	5	0	1322.1	396.0	0.7005		census v5	in band	itpr.hmm wins at 70% margin over an envelope covering 94% in 2 segment(s)
A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	A0A078ASZ8	Ciliophora	sar	ITPR	Ciliophora	Ciliophora	ITPR	2773	Stylonychia lemnae (Ciliate)	5949	Contig10368.g11065	Cation channel family protein	5	0	1326.9	377.4	0.7156		census v5	in band	itpr.hmm wins at 72% margin over an envelope covering 100% in 1 segment(s)
A0A8T1W1U0|PHYPSEUDO_000592|Phytophthora_pseudosyringae|Oomycota|ITPR	A0A8T1W1U0	Oomycota	sar	ITPR	Oomycota	Oomycota	ITPR	3854	Phytophthora pseudosyringae	221518	PHYPSEUDO_000592	MIR domain-containing protein	5	0	2158.5	315.3	0.8539		S3 seed (A0A8T1W1U0|PHYPSEUDO_000592|Phytophthora_pseudosyringae|non_metazoan)	S3 seed, reused under B6	itpr.hmm wins at 85% margin over an envelope covering 96% in 1 segment(s)
A0A1V9ZAA8|THRCLA_08090|Thraustotheca_clavata|Oomycota|ITPR	A0A1V9ZAA8	Oomycota	sar	ITPR	Oomycota	Oomycota	ITPR	2914	Thraustotheca clavata	74557	THRCLA_08090	Ryanodine-inositol 1,4,5-triphosphate receptor Ca2 channel (RIR-CaC) family prot	4	1	1337.5	320.2	0.7606		census v5	architecture 4/5 accepted as a stated exception on itpr.hmm = 1338 bits (>= 752) — the S0/S3 iplA case, where the family's own defining signature does not reach a characterised receptor	itpr.hmm wins at 76% margin over an envelope covering 95% in 2 segment(s)
Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Q9NA13	Evosea	amoebozoa	ITPR	Evosea	Evosea	ITPR	3177	Dictyostelium discoideum (Social amoeba)	44689	iplA	Inositol 1,4,5-trisphosphate receptor-like protein A	2	0	1717.2	164.7	0.9041		S3 seed (Q9NA13|iplA|Dictyostelium_discoideum|non_metazoan)	S3 seed, reused under B6	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
F4Q324|iplA|Cavenderia_fasciculata|Evosea|ITPR	F4Q324	Evosea	amoebozoa	ITPR	Evosea	Evosea	ITPR	2843	Cavenderia fasciculata (Slime mold) (Dictyostelium fasciculatum)	261658	iplA	Inositol 1,4,5-trisphosphate receptor-like protein	4	1	1281.5	219.4	0.8288		census v5	architecture 4/5 accepted as a stated exception on itpr.hmm = 1282 bits (>= 752) — the S0/S3 iplA case, where the family's own defining signature does not reach a characterised receptor	itpr.hmm wins at 83% margin over an envelope covering 100% in 1 segment(s)
L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	L8GF85	Discosea	amoebozoa	ITPR	Discosea	Discosea	ITPR	3344	Acanthamoeba castellanii (strain ATCC 30010 / Neff)	1257118	ACA1_256780	Inositol 1,4,5trisphosphate receptor type 2, putative	5	0	2247.7	524.5	0.7667		S3 seed (L8GF85|ACA1_256780|Acanthamoeba_castellanii|non_metazoan)	S3 seed, reused under B6	itpr.hmm wins at 77% margin over an envelope covering 80% in 1 segment(s)
A0AA88KEU5|C9374_011999|Naegleria_lovaniensis|Heterolobosea|ITPR	A0AA88KEU5	Heterolobosea	discoba	ITPR	Heterolobosea	Heterolobosea	ITPR	3074	Naegleria lovaniensis (Amoeba)	51637	C9374_011999	MIR domain-containing protein	5	0	2121.8	367.0	0.827		S3 seed (A0AA88KEU5|C9374_011999|Naegleria_lovaniensis|non_metazoan)	S3 seed, reused under B6	itpr.hmm wins at 83% margin over an envelope covering 98% in 2 segment(s)
A0AB34IS99|AB1Y20_010572|Prymnesium_parvum|Haptophyta|ITPR	A0AB34IS99	Haptophyta	other	ITPR	Haptophyta	Haptophyta	ITPR	2751	Prymnesium parvum (Toxic golden alga)	97485	AB1Y20_010572	Inositol 1,4,5-trisphosphate receptor	4	1	1155.1	297.4	0.7425		census v5	architecture 4/5 accepted as a stated exception on itpr.hmm = 1155 bits (>= 752) — the S0/S3 iplA case, where the family's own defining signature does not reach a characterised receptor	itpr.hmm wins at 74% margin over an envelope covering 96% in 3 segment(s)
A0A5A7RHI8|STAS_34410|Striga_asiatica|Magnoliopsida|CONTROL	A0A5A7RHI8	Magnoliopsida	viridiplantae	CONTROL	Magnoliopsida	Magnoliopsida	CONTROL	2970			STAS_34410	Myosin-11		0					PF00063 over the archived viridiplantae proteome DB	Myosin_head control for Magnoliopsida: 2970 aa, 792 bits, 100% of the model; Myosin_head (PF00063) is in 344/353 of the clade's swept proteomes (97%), median 1508 aa; runners-up PF02463 99%, PF00122 100%, PF00225 100%, PF02815 1%; the clade S20 swept 367 proteomes of for 0 ITPR; control is strong — 2970 aa carrying 100% of its profile, present across 97% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0ACC1S350|NM208_g9074|Fusarium_decemcellulare|Sordariomycetes|CONTROL	A0ACC1S350	Sordariomycetes	fungi	CONTROL	Sordariomycetes	Sordariomycetes	CONTROL	2989			NM208_g9074	Uncharacterized protein		0					PF00063 over the archived fungi proteome DB	Myosin_head control for Sordariomycetes: 2989 aa, 884 bits, 100% of the model; Myosin_head (PF00063) is in 350/350 of the clade's swept proteomes (100%), median 1711 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%; the clade S20 swept 355 proteomes of for 0 ITPR; control is strong — 2989 aa carrying 100% of its profile, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A401KDU4|AAWM_00358|Aspergillus_awamori|Eurotiomycetes|CONTROL	A0A401KDU4	Eurotiomycetes	fungi	CONTROL	Eurotiomycetes	Eurotiomycetes	CONTROL	2719			AAWM_00358	Myosin type-2 heavy chain 1		0					PF00063 over the archived fungi proteome DB	Myosin_head control for Eurotiomycetes: 2719 aa, 888 bits, 100% of the model; Myosin_head (PF00063) is in 233/234 of the clade's swept proteomes (100%), median 1574 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%; the clade S20 swept 235 proteomes of for 0 ITPR; control is strong — 2719 aa carrying 100% of its profile, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A8H6WC62|MIND_00313100|Mycena_indigotica|Agaricomycetes|CONTROL	A0A8H6WC62	Agaricomycetes	fungi	CONTROL	Agaricomycetes	Agaricomycetes	CONTROL	2890			MIND_00313100	chitin synthase		0					PF00063 over the archived fungi proteome DB	Myosin_head control for Agaricomycetes: 2890 aa, 282 bits, 93% of the model; Myosin_head (PF00063) is in 184/191 of the clade's swept proteomes (96%), median 1897 aa; runners-up PF02463 98%, PF00122 98%, PF00225 97%, PF02815 97%; the clade S20 swept 194 proteomes of for 0 ITPR; control is strong — 2890 aa carrying 93% of its profile, present across 96% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A364MXM6|DDE83_006899|Stemphylium_lycopersici|Dothideomycetes|CONTROL	A0A364MXM6	Dothideomycetes	fungi	CONTROL	Dothideomycetes	Dothideomycetes	CONTROL	2921			DDE83_006899	Eukaryotic translation initiation factor 5B		0					PF00063 over the archived fungi proteome DB	Myosin_head control for Dothideomycetes: 2921 aa, 263 bits, 90% of the model; Myosin_head (PF00063) is in 171/172 of the clade's swept proteomes (99%), median 1843 aa; runners-up PF02463 99%, PF00122 99%, PF00225 100%, PF02815 99%; the clade S20 swept 176 proteomes of for 0 ITPR; control is strong — 2921 aa carrying 90% of its profile, present across 99% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A2P7YTB0|C7M61_001817|Candidozyma_pseudohaemuli|Pichiomycetes|CONTROL	A0A2P7YTB0	Pichiomycetes	fungi	CONTROL	Pichiomycetes	Pichiomycetes	CONTROL	2784			C7M61_001817	Myosin-1		0					PF00063 over the archived fungi proteome DB	Myosin_head control for Pichiomycetes: 2784 aa, 764 bits, 100% of the model; Myosin_head (PF00063) is in 65/66 of the clade's swept proteomes (98%), median 1548 aa; runners-up PF02463 100%, PF00122 100%, PF02815 100%, PF00225 100%; the clade S20 swept 69 proteomes of for 0 ITPR; control is strong — 2784 aa carrying 100% of its profile, present across 98% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
